hls_synth__latency_best_cycles,hls_synth__latency_average_cycles,hls_synth__latency_worst_cycles,hls_synth__resources_lut_used,hls_synth__resources_ff_used,hls_synth__resources_dsp_used,hls_synth__resources_bram_used,hls_synth__resources_uram_used,impl__power__total_power,impl__power__dynamic_power,impl__power__static_power
108.0,420.0,871.0,51464,17157,87,4,0,908.947,287.142,621.805
108.0,440.0,990.0,51977,17138,87,4,0,907.99,286.19,621.799
103.0,428.0,970.0,100594,21675,222,4,0,1013.89,391.504,622.386
376.0,758.0,1279.0,36826,15428,45,4,0,911.232,289.415,621.817
376.0,765.0,1318.0,34871,15224,45,4,0,915.499,293.658,621.841
145.0,474.0,967.0,41101,16305,67,4,0,885.168,263.494,621.674
225.0,574.0,1087.0,36615,16041,53,4,0,830.098,208.728,621.37
108.0,435.0,980.0,71402,19447,139,4,0,940.648,318.668,621.98
103.0,408.0,851.0,101941,21820,222,4,0,1019.426,397.01,622.416
108.0,422.0,900.0,73442,19636,139,4,0,952.492,330.447,622.045
106.0,418.0,893.0,102103,21817,222,4,0,1034.507,412.007,622.5
57554.0,57554.0,57554.0,4130,1458,0,14,0,620.948,0.724,620.224
40335.0,40335.0,40335.0,13194,3071,0,18,0,620.709,0.486,620.223
49844.0,49844.0,49844.0,7009,2174,0,18,0,621.111,0.886,620.225
33910.0,33910.0,33910.0,18119,8281,0,14,0,620.991,0.766,620.224
611.0,611.0,611.0,330469,83173,0,32,0,742.751,121.861,620.89
804.0,804.0,804.0,395561,78767,0,4,0,760.697,139.708,620.989
681.0,681.0,681.0,325694,83625,0,4,0,762.693,141.694,621.0
611.0,611.0,611.0,330467,83197,0,32,0,741.065,120.184,620.881
681.0,681.0,681.0,325694,83625,0,4,0,762.693,141.694,621.0
952.0,952.0,952.0,394822,77792,0,2,0,750.284,129.352,620.932
1686.0,1855.0,2024.0,329173,83921,0,6,0,719.691,98.927,620.764
675.0,675.0,675.0,329044,83492,0,16,0,691.999,71.387,620.612
1782.0,1925.0,2068.0,398028,77373,0,3,0,696.431,75.794,620.636
1786.0,17344.0,102582.0,328398,60404,0,0,0,708.917,88.212,620.705
1825.0,17383.0,102621.0,328781,60446,0,0,0,704.662,83.98,620.681
1717.0,17275.0,102513.0,214527,23520,0,0,0,693.628,73.007,620.621
1469.0,16924.0,102058.0,331945,60475,0,0,0,740.375,119.498,620.877
